objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,u-g,g-r,,,my 20 (19),,,,
1237671939804562784,6162,301,3,133,1376,3,258.0431053,64.01892518,24.57387,23.63197,22.57537,21.65986,21.50553,0.9991296,0.2877338,0.1584331,0.1037456,0.3231344,0.9419,1.0566,,,,,,,
1237671939804563004,6162,301,3,133,1596,3,258.0193,64.02830193,24.40002,24.57287,24.59797,24.57601,20.83995,1.037263,0.5668383,0.6399367,0.633323,0.2073819,-0.17285,-0.0251,,,,,,,
1237671939804562339,6162,301,3,133,931,3,258.0206698,64.02478814,22.56796,22.79848,22.44748,21.74132,21.51888,0.3476332,0.1623302,0.1632481,0.1288121,0.381099,-0.23052,0.351,,,,,,,
1237671939804562661,6162,301,3,133,1253,3,258.2421988,64.08240316,24.41442,23.18833,22.00494,21.47896,21.37779,0.9709647,0.1970245,0.09597757,0.0847034,0.2935401,1.22609,1.18339,,,,,,,
1237671939804627819,6162,301,3,134,875,3,258.2698661,64.07502369,26.02992,22.87573,21.26516,20.24505,19.88106,0.5853509,0.1742758,0.06067972,0.03630675,0.1012629,3.15419,1.61057,,,,,,,
1237671939804627823,6162,301,3,134,879,3,258.2725586,64.07769221,23.00638,21.85944,21.22313,20.93989,20.76563,0.5750911,0.0821472,0.06734907,0.07583354,0.2542,1.14694,0.63631,,,,,,,
1237671939804627592,6162,301,3,134,648,3,258.2527414,64.08090469,21.87139,19.88787,19.0018,18.60456,18.34194,0.2467792,0.01918656,0.01309852,0.01299215,0.03583404,1.98352,0.88607,,,,,,,
1237671939804628282,6162,301,3,134,1338,3,258.2568059,64.0831091,24.93143,23.35665,22.43983,21.7245,21.97318,1.212482,0.2837868,0.1800705,0.1497733,0.5887443,1.57478,0.91682,,,,,,,
1237671939804561512,6162,301,3,133,104,3,258.1952132,64.07501071,22.90206,19.91334,18.72573,18.33514,18.26459,1.145724,0.03367978,0.01777066,0.01788365,0.06164918,2.98872,1.18761,,,,,,,
1237671939804561531,6162,301,3,133,123,3,258.1893351,64.07623874,22.749,21.89656,21.15604,20.66683,20.63926,0.4330658,0.08046615,0.05922459,0.05469617,0.2048572,0.85244,0.74052,,,,,,,
1237671939804561532,6162,301,3,133,124,3,258.1833864,64.07446837,23.84269,22.22258,21.81178,21.14746,21.69268,0.8384386,0.09610235,0.09083757,0.0716029,0.3970437,1.62011,0.4108,,,,,,,
1237671939804563019,6162,301,3,133,1611,3,258.2194877,64.06734744,23.00726,23.95715,22.3671,22.30326,22.36666,0.6926002,0.5705475,0.2277465,0.3125026,0.9570158,-0.94989,1.59005,,,,,,,
1237671939804562887,6162,301,3,133,1479,3,258.210202,64.06781096,23.5096,23.32693,22.311,22.34001,22.87855,0.752528,0.2579229,0.1497891,0.2188226,0.7157375,0.18267,1.01593,,,,,,,
1237671939804561505,6162,301,3,133,97,3,258.2136392,64.0770536,21.74025,19.55671,18.74655,18.28754,18.20393,0.2249391,0.0151515,0.01097098,0.01048178,0.03287841,2.18354,0.81016,,,,,,,
1237671939804561475,6162,301,3,133,67,3,258.2133566,64.07316957,19.22808,17.19313,16.26248,15.74695,15.4874,0.04919117,0.004988501,0.003694817,0.003473432,0.007416609,2.03495,0.93065,,,,,,,
1237671939804561535,6162,301,3,133,127,3,258.2068158,64.07445981,21.62093,21.26374,21.4302,21.40214,21.864,0.1833223,0.05493735,0.0845228,0.1207078,0.5836574,0.35719,-0.16646,,,,,,,
1237671939804626964,6162,301,3,134,20,3,258.262789,64.05554868,20.06546,18.08128,17.11202,16.66541,16.3513,0.1222993,0.01025086,0.006834088,0.006626931,0.01657853,1.98418,0.96926,,,,,,,
1237671939804627016,6162,301,3,134,72,3,258.276055,64.05541034,25.31738,23.53733,23.70666,22.24139,22.357,0.8863196,0.2941316,0.4429424,0.1910705,0.6328377,1.78005,-0.16933,,,,,,,
1237671939804626968,6162,301,3,134,24,3,258.2802521,64.06186445,21.93677,19.36834,18.44525,18.03634,17.74638,0.2696397,0.0133598,0.009081204,0.008965431,0.02323822,2.56843,0.92309,,,,,,,
