objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237663783126041712,4263,301,2,152,1136,3,5.415480591,-0.816078992,22.9448,23.40281,22.17905,21.30607,20.77555,0.3439725,0.2439328,0.1278319,0.08465331,0.1820572
1237663783126042068,4263,301,2,152,1492,3,5.415737659,-0.812518718,22.64193,22.79816,22.68253,23.00123,21.94261,0.362952,0.1990817,0.2890244,0.5067793,0.6122437
1237663783126040749,4263,301,2,152,173,3,5.418844375,-0.809990387,23.68899,21.56048,20.66284,20.35229,20.14494,0.6807325,0.06030837,0.04173798,0.04498937,0.1248352
1237663783126040750,4263,301,2,152,174,3,5.420083036,-0.810986712,25.28685,22.63703,21.92521,21.0158,21.57071,0.9621688,0.1855014,0.1493689,0.09828443,0.505336
1237663783126041258,4263,301,2,152,682,3,5.433468857,-0.810531136,23.75189,22.35369,21.66987,21.15895,20.81779,0.8125917,0.1335371,0.1082273,0.1016461,0.2483389
1237663783126041738,4263,301,2,152,1162,3,5.427819764,-0.811954735,25.23775,24.13252,21.89613,22.20396,20.8317,0.865061,0.5410659,0.1477979,0.2758881,0.2591392
1237657189833834568,2728,301,1,449,72,3,5.369648336,-0.880756277,21.11326,19.03261,17.88807,17.40702,17.0797,0.1768883,0.01595183,0.008978135,0.008465488,0.01992498
1237657189833835674,2728,301,1,449,1178,3,5.369533518,-0.872176185,23.53353,23.30964,22.41891,21.07854,20.72234,1.047711,0.4513612,0.2897694,0.1333389,0.3534381
1237657189833835180,2728,301,1,449,684,3,5.381519023,-0.866199085,22.74809,22.35489,21.33506,20.85081,20.63739,0.4486949,0.1538084,0.09840975,0.08633357,0.2554949
1237657189833835181,2728,301,1,449,685,3,5.381673795,-0.867510996,24.06439,23.85811,23.13566,22.18551,23.23254,0.8384028,0.4004442,0.2895651,0.1911837,0.6143183
1237657189833834841,2728,301,1,449,345,3,5.372392782,-0.866413969,24.46248,22.10113,21.48194,21.39592,21.07895,1.208827,0.1230708,0.09361812,0.1421837,0.3432767
1237657189833834839,2728,301,1,449,343,3,5.370640433,-0.86462043,21.63734,19.68975,18.57714,18.09074,17.7663,0.2483683,0.02312755,0.01329925,0.01248802,0.03102889
1237657189833834840,2728,301,1,449,344,3,5.369819722,-0.864361218,24.55555,22.34456,21.33412,20.96262,20.84497,0.870926,0.1109676,0.06093298,0.06476537,0.2076085
1237657189833835167,2728,301,1,449,671,3,5.377000464,-0.8675143,22.17427,20.90818,20.55145,20.49169,20.41349,0.2973108,0.04805401,0.05004925,0.06900527,0.2306314
1237663783126041910,4263,301,2,152,1334,3,5.390396852,-0.839408729,23.38991,23.93702,22.92396,22.1816,22.19367,0.4633445,0.352917,0.2372389,0.1754609,0.4996944
1237663783126041671,4263,301,2,152,1095,3,5.392807138,-0.840190819,25.84048,23.16778,22.07275,21.72398,21.61735,0.6913598,0.2883955,0.1715533,0.1825832,0.524425
1237657189833835688,2728,301,1,449,1192,3,5.392805632,-0.845116396,23.85901,24.05364,22.72942,21.77683,21.49071,0.9211986,0.5588271,0.2558142,0.165683,0.439814
1237657189833835774,2728,301,1,449,1278,3,5.397531861,-0.850563029,21.99196,25.58302,25.24607,26.00034,22.18284,0.2156401,0.7969722,0.8421991,0.3916253,0.7368609
1237657189833835205,2728,301,1,449,709,3,5.391115767,-0.849318096,23.61559,22.5484,21.5764,21.37287,22.27073,0.645267,0.1362503,0.07799584,0.09634972,0.5983123
1237657189833835507,2728,301,1,449,1011,3,5.393907611,-0.853057348,22.70517,22.70055,21.84188,21.60662,21.10818,0.4260572,0.2045647,0.1414317,0.1625647,0.371215
1237657189833834657,2728,301,1,449,161,3,5.370946083,-0.844716763,19.31674,18.56059,17.67332,17.23319,16.97125,0.04852467,0.01256727,0.008689285,0.00846383,0.02125118
1237657189833834952,2728,301,1,449,456,3,5.372522861,-0.851154022,21.50785,20.93094,20.37106,20.0736,19.91244,0.1356712,0.03960237,0.03334539,0.03693904,0.1127466
1237663783125976140,4263,301,2,151,1100,3,5.387471593,-0.839401836,24.6415,22.94622,23.02571,23.37833,22.04101,0.7755224,0.159999,0.2551447,0.4530578,0.4668972
1237657189833835155,2728,301,1,449,659,3,5.373277968,-0.859733868,22.89402,22.47115,21.96881,21.54369,21.33566,0.3952966,0.1344358,0.1157992,0.1181594,0.3495673
1237657189833835166,2728,301,1,449,670,3,5.376799076,-0.859582876,24.40878,21.86182,21.31613,20.93558,20.79362,0.9020225,0.07457811,0.06205186,0.06528472,0.206803
1237657189833835778,2728,301,1,449,1282,3,5.374732513,-0.854774108,26.20335,22.50263,23.68935,22.88767,22.0767,0.5399898,0.1834785,0.59765,0.4685153,0.7101324
1237657189833834959,2728,301,1,449,463,3,5.386951896,-0.853462329,21.0736,25.70419,23.91271,23.63473,21.85331,0.1760851,1.346275,1.261856,1.398663,1.120651
1237657189833834844,2728,301,1,449,348,3,5.38238759,-0.85814726,21.40843,19.53684,18.50072,17.99983,17.6612,0.1665197,0.01801538,0.01100417,0.01021217,0.02418428
1237657189833835495,2728,301,1,449,999,3,5.383399346,-0.84964658,25.39759,24.38537,22.55511,22.06506,21.54712,0.713407,0.550853,0.1794585,0.1698224,0.3779809
1237657189833835182,2728,301,1,449,686,3,5.381626358,-0.850086418,23.58509,22.70823,21.85617,21.16539,20.96557,0.6338073,0.159145,0.1015987,0.08355333,0.2470081
1237657189833834671,2728,301,1,449,175,3,5.383084196,-0.852032795,22.22826,23.00281,21.57453,21.37275,20.8037,0.2534444,0.2336651,0.09418304,0.1152568,0.2512481
1237663783125976117,4263,301,2,151,1077,3,5.383892422,-0.836387319,23.13881,21.63098,20.6142,20.33882,19.82253,0.5477118,0.07975335,0.04966273,0.05454722,0.1227383
1237663783125976394,4263,301,2,151,1354,3,5.387392245,-0.83404439,25.35387,23.33879,21.59826,20.99733,20.78356,0.5816149,0.2118153,0.07172849,0.06084269,0.1770107
1237663783125976132,4263,301,2,151,1092,3,5.386999588,-0.829704089,23.7683,22.66407,21.24384,20.91719,20.08318,0.7833458,0.1696324,0.0790712,0.08075731,0.13476
1237663783125976133,4263,301,2,151,1093,3,5.385407447,-0.828572057,23.63436,22.53109,21.83471,21.54771,20.98232,0.562328,0.1168221,0.09455435,0.1044205,0.2204265
1237663783126041175,4263,301,2,152,599,3,5.410900172,-0.834879694,22.36316,21.5989,21.13857,20.94621,20.66714,0.2092397,0.05417646,0.05206628,0.06124698,0.1647142
1237663783126041927,4263,301,2,152,1351,3,5.410337795,-0.818235147,23.90372,24.82781,23.77345,22.32961,22.46845,0.6818639,0.5810792,0.4626023,0.202604,0.5625323
