objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237678617430393587,7717,301,1,521,755,3,28.71406957,1.062610826,23.21908,20.61963,18.87737,18.2249,17.9013,1.060064,0.0522115,0.01752369,0.01523946,0.03822251
1237678617430394004,7717,301,1,521,1172,3,28.70958493,1.054968551,25.05061,24.64219,24.07002,21.44727,22.27942,1.312897,0.9039555,0.8978065,0.1712549,0.9462895
1237663785283682947,4263,301,6,307,643,3,28.71330247,0.950466793,22.822,22.75845,22.84722,21.60946,22.17531,0.4341621,0.1995674,0.3095865,0.1678705,0.767294
1237663785283682935,4263,301,6,307,631,3,28.71042743,0.95216898,24.3796,22.85121,21.19401,20.60289,20.16015,0.8034108,0.1564108,0.05438948,0.05110412,0.1163069
1237663785283748606,4263,301,6,308,766,3,28.77639886,0.984745278,22.80399,23.33746,22.52484,22.61237,22.39545,0.3606118,0.26707,0.1979695,0.3308993,0.6991255
1237663785283748284,4263,301,6,308,444,3,28.77708571,0.952553549,22.23456,21.57106,21.08986,20.81475,20.94762,0.4096442,0.1052002,0.1048699,0.124304,0.4790695
1237663785283748084,4263,301,6,308,244,3,28.74630836,1.00923311,20.69689,19.18443,18.5892,18.22662,18.02686,0.1424581,0.01840153,0.01593162,0.01715639,0.04670246
1237663785283682971,4263,301,6,307,667,3,28.72446201,0.946090767,22.19968,21.94352,20.39267,19.31563,18.81558,0.3812051,0.1397898,0.05275228,0.03225218,0.06927697
1237663785283683326,4263,301,6,307,1022,3,28.72869319,0.965940435,23.46955,25.68411,24.68925,24.68038,20.44054,0.6679116,0.6716423,0.8649076,0.902337,0.1853661
1237663785283748133,4263,301,6,308,293,3,28.75070263,0.966284602,23.8508,23.20014,21.86155,21.50851,20.59105,0.7103653,0.2276467,0.1040599,0.119347,0.1834779
1237663785283747859,4263,301,6,308,19,3,28.75087503,0.946901619,24.9829,23.4317,22.43528,21.49746,22.60682,0.795175,0.2641865,0.1646146,0.1133452,0.6681936
1237663785283682992,4263,301,6,307,688,3,28.72982388,0.979787994,24.3587,22.93509,22.02372,21.92603,21.61972,0.8397231,0.1768056,0.1171707,0.1708294,0.41181
1237663785283683006,4263,301,6,307,702,3,28.73742387,0.974770267,26.23501,22.29524,20.65663,19.96948,19.53813,0.39143,0.1115875,0.03975396,0.03429311,0.0788762
1237663785283748567,4263,301,6,308,727,3,28.74674613,0.96646078,24.14917,24.54741,22.8447,21.6822,21.51091,0.6516043,0.4709911,0.1989473,0.1157514,0.3247249
1237663785283683015,4263,301,6,307,711,3,28.74298806,0.96643641,23.68889,21.68896,20.06835,19.45409,19.10819,0.8159863,0.07649482,0.02833121,0.0257949,0.06228898
1237663785283682562,4263,301,6,307,258,3,28.73507852,0.96237209,25.92574,21.12881,19.27349,18.63028,18.32584,0.8139913,0.06016232,0.01873386,0.01655638,0.04032657
1237663785283683208,4263,301,6,307,904,3,28.74243765,0.958455483,25.34098,23.19511,22.07345,21.17253,20.49353,0.8284385,0.2506389,0.1405361,0.09893443,0.1852846
1237663785283748742,4263,301,6,308,902,3,28.74856689,0.987387149,25.3434,25.10324,24.6038,21.94248,21.46779,0.6802174,0.6214352,0.6962353,0.1679673,0.3615136
1237663785283748135,4263,301,6,308,295,3,28.76032637,0.966699516,21.39435,20.60358,19.89478,19.5795,19.33508,0.1113926,0.02712169,0.02118164,0.02392196,0.0629236
1237663785283748085,4263,301,6,308,245,3,28.76194724,0.963308178,21.80375,19.86258,18.48713,17.9522,17.5876,0.296061,0.02660194,0.01274323,0.01199908,0.02749653
1237663785283748134,4263,301,6,308,294,3,28.7572516,0.989805307,21.5406,25.99717,26.54877,25.63311,23.8983,0.1663676,0.6847008,0.4149532,0.6485292,0.6505163
1237663785283748747,4263,301,6,308,907,3,28.75745775,0.970419707,24.18589,24.22579,23.00275,21.82019,22.27461,0.8530769,0.505811,0.2902438,0.1647151,0.6536584
1237663785283682969,4263,301,6,307,665,3,28.7228599,0.953415861,22.81627,22.61485,21.69579,21.34962,20.73036,0.4432909,0.1774317,0.1156481,0.1341116,0.2622176
1237663785283682953,4263,301,6,307,649,3,28.71502873,0.985663025,26.28835,21.27891,19.47178,18.81383,18.52151,0.6990838,0.0777289,0.02454918,0.02135854,0.05423155
1237663785283683163,4263,301,6,307,859,3,28.70473906,0.985490434,24.28962,22.99448,21.28934,20.49584,20.22772,1.292343,0.2775312,0.09226289,0.07177517,0.1920367
